LocalTime,Symbol,EventType,Side,FillSize,FillPrice,FillExchange,SymbolBought,SymbolSold,SymbolPosition,SymbolNotional,ExchangeBought,ExchangeSold,TotalBought,TotalSold,TotalBoughtNotional,TotalSoldNotional
1900-01-01 09:30:00,AES,TRADE,t,100,11.14,NYSE,0,100,-100,1114.0,0,100,0,100,0.0,1114.0
1900-01-01 09:30:16,AES,TRADE,b,100,11.16,NASDAQ,100,100,0,1116.0,100,0,100,100,1116.0,1114.0
1900-01-01 09:31:02,CX,TRADE,b,100,7.5,NASDAQ,100,0,100,750.0,200,0,200,100,1866.0,1114.0
1900-01-01 09:31:10,CX,TRADE,t,100,7.51,NASDAQ,100,100,0,751.0,200,100,200,200,1866.0,1865.0
1900-01-01 09:32:04,CX,TRADE,b,200,7.5,NASDAQ,300,100,200,1500.0,400,100,400,200,3366.0,1865.0
1900-01-01 09:32:33,CX,TRADE,t,100,7.5,NASDAQ,300,200,100,750.0,400,200,400,300,3366.0,2615.0
1900-01-01 09:33:01,CX,TRADE,t,200,7.48,NASDAQ,300,400,-100,1496.0,400,400,400,500,3366.0,4111.0
1900-01-01 09:33:30,AIG,TRADE,t,100,56.4,NASDAQ,0,100,-100,5640.0,400,500,400,600,3366.0,9751.0
1900-01-01 09:33:33,AIG,TRADE,t,100,56.39,NYSE,0,200,-200,5639.0,0,200,400,700,3366.0,15390.0
1900-01-01 09:33:56,AIG,TRADE,b,100,56.38,NASDAQ,100,200,-100,5638.0,500,500,500,700,9004.0,15390.0
1900-01-01 09:34:18,AIG,TRADE,b,100,56.38,NASDAQ,200,200,0,5638.0,600,500,600,700,14642.0,15390.0
1900-01-01 09:34:53,AIG,TRADE,t,100,56.4,NASDAQ,200,300,-100,5640.0,600,600,600,800,14642.0,21030.0
1900-01-01 09:35:52,RPY,TRADE,b,7112,5.75,NYSE,7112,0,7112,40894.0,7112,200,7712,800,55536.0,21030.0
1900-01-01 09:36:37,RPY,TRADE,b,7112,5.75,NYSE,14224,0,14224,40894.0,14224,200,14824,800,96430.0,21030.0
1900-01-01 09:37:31,RPY,TRADE,b,78235,5.75,NYSE,92459,0,92459,449851.25,92459,200,93059,800,546281.25,21030.0
1900-01-01 09:37:53,RPY,TRADE,b,64010,5.75,NASDAQ,156469,0,156469,368057.5,64610,600,157069,800,914338.75,21030.0
1900-01-01 09:38:48,RPY,TRADE,t,7112,5.76,NASDAQ,156469,7112,149357,40965.119999999995,64610,7712,157069,7912,914338.75,61995.119999999995
1900-01-01 09:39:37,RPY,TRADE,b,7112,5.76,NYSE,163581,7112,156469,40965.119999999995,99571,200,164181,7912,955303.87,61995.119999999995
1900-01-01 09:39:39,RPY,TRADE,b,28449,5.76,NYSE,192030,7112,184918,163866.24,128020,200,192630,7912,1119170.1099999999,61995.119999999995
1900-01-01 09:40:28,RPY,TRADE,b,7112,5.75,NASDAQ,199142,7112,192030,40894.0,71722,7712,199742,7912,1160064.1099999999,61995.119999999995
1900-01-01 09:41:24,RPY,TRADE,t,78235,5.76,NASDAQ,199142,85347,113795,450633.6,71722,85947,199742,86147,1160064.1099999999,512628.72
1900-01-01 09:41:51,RPY,TRADE,b,924,5.75,NASDAQ,200066,85347,114719,5313.0,72646,85947,200666,86147,1165377.1099999999,512628.72
1900-01-01 09:42:47,RPY,TRADE,b,7112,5.75,NYSE,207178,85347,121831,40894.0,135132,200,207778,86147,1206271.1099999999,512628.72
1900-01-01 09:43:38,RPY,TRADE,b,7112,5.75,NYSE,214290,85347,128943,40894.0,142244,200,214890,86147,1247165.1099999999,512628.72
1900-01-01 09:44:11,RPY,TRADE,b,78235,5.75,NYSE,292525,85347,207178,449851.25,220479,200,293125,86147,1697016.3599999999,512628.72
1900-01-01 09:44:31,RPY,TRADE,b,64010,5.75,NASDAQ,356535,85347,271188,368057.5,136656,85947,357135,86147,2065073.8599999999,512628.72
1900-01-01 09:44:35,RPY,TRADE,t,7112,5.76,NASDAQ,356535,92459,264076,40965.119999999995,136656,93059,357135,93259,2065073.8599999999,553593.84
1900-01-01 09:45:26,RPY,TRADE,b,7112,5.76,NYSE,363647,92459,271188,40965.119999999995,227591,200,364247,93259,2106038.98,553593.84
1900-01-01 09:46:01,RPY,TRADE,b,28449,5.76,NYSE,392096,92459,299637,163866.24,256040,200,392696,93259,2269905.2199999997,553593.84
1900-01-01 09:46:42,RPY,TRADE,b,7112,5.75,NASDAQ,399208,92459,306749,40894.0,143768,93059,399808,93259,2310799.2199999997,553593.84
1900-01-01 09:46:54,RPY,TRADE,t,78235,5.76,NASDAQ,399208,170694,228514,450633.6,143768,171294,399808,171494,2310799.2199999997,1004227.44
1900-01-01 09:47:18,RPY,TRADE,b,924,5.75,NASDAQ,400132,170694,229438,5313.0,144692,171294,400732,171494,2316112.2199999997,1004227.44
1900-01-01 09:48:17,RPY,TRADE,t,7112,5.76,NASDAQ,400132,177806,222326,40965.119999999995,144692,178406,400732,178606,2316112.2199999997,1045192.5599999999
1900-01-01 09:48:45,RPY,TRADE,t,7112,5.76,NASDAQ,400132,184918,215214,40965.119999999995,144692,185518,400732,185718,2316112.2199999997,1086157.68
1900-01-01 09:49:36,RPY,TRADE,t,7112,5.76,NASDAQ,400132,192030,208102,40965.119999999995,144692,192630,400732,192830,2316112.2199999997,1127122.7999999998
1900-01-01 09:49:41,RPY,TRADE,t,14224,5.75,NASDAQ,400132,206254,193878,81788.0,144692,206854,400732,207054,2316112.2199999997,1208910.7999999998
1900-01-01 09:50:34,RPY,TRADE,s,28449,5.75,NYSE,400132,234703,165429,163581.75,256040,28649,400732,235503,2316112.2199999997,1372492.5499999998
1900-01-01 09:51:06,RPY,TRADE,t,14224,5.75,NASDAQ,400132,248927,151205,81788.0,144692,221078,400732,249727,2316112.2199999997,1454280.5499999998
1900-01-01 09:51:43,RPY,TRADE,s,7112,5.75,NASDAQ,400132,256039,144093,40894.0,144692,228190,400732,256839,2316112.2199999997,1495174.5499999998
1900-01-01 09:51:52,RPY,TRADE,s,7112,5.75,NYSE,400132,263151,136981,40894.0,256040,35761,400732,263951,2316112.2199999997,1536068.5499999998
1900-01-01 09:52:18,RPY,TRADE,s,14224,5.75,NASDAQ,400132,277375,122757,81788.0,144692,242414,400732,278175,2316112.2199999997,1617856.5499999998
1900-01-01 09:53:14,RPY,TRADE,t,8036,5.76,NASDAQ,400132,285411,114721,46287.36,144692,250450,400732,286211,2316112.2199999997,1664143.91
1900-01-01 09:53:43,UGH,TRADE,t,7112,8.03,NASDAQ,0,7112,-7112,57109.35999999999,144692,257562,400732,293323,2316112.2199999997,1721253.27
1900-01-01 09:53:49,UGH,TRADE,b,7112,8.03,NASDAQ,7112,7112,0,57109.35999999999,151804,257562,407844,293323,2373221.5799999996,1721253.27
1900-01-01 09:54:37,W,TRADE,t,7112,6.0,NYSE,0,7112,-7112,42672.0,256040,42873,407844,300435,2373221.5799999996,1763925.27
1900-01-01 09:55:10,W,TRADE,b,7112,6.0,NASDAQ,7112,7112,0,42672.0,158916,257562,414956,300435,2415893.5799999996,1763925.27
1900-01-01 09:56:07,W,TRADE,t,7112,6.0,NASDAQ,7112,14224,-7112,42672.0,158916,264674,414956,307547,2415893.5799999996,1806597.27
1900-01-01 09:56:20,W,TRADE,b,7112,6.0,NASDAQ,14224,14224,0,42672.0,166028,264674,422068,307547,2458565.5799999996,1806597.27
1900-01-01 09:56:53,MK,TRADE,b,21336,2.52,NYSE,21336,0,21336,53766.72,277376,42873,443404,307547,2512332.3,1806597.27
1900-01-01 09:57:49,MK,TRADE,b,7112,2.52,NYSE,28448,0,28448,17922.24,284488,42873,450516,307547,2530254.54,1806597.27
1900-01-01 09:58:05,MK,TRADE,t,21336,2.53,NASDAQ,28448,21336,7112,53980.079999999994,166028,286010,450516,328883,2530254.54,1860577.35
1900-01-01 09:58:46,MK,TRADE,t,7112,2.53,NASDAQ,28448,28448,0,17993.359999999997,166028,293122,450516,335995,2530254.54,1878570.7100000002
1900-01-01 09:59:42,LMA,TRADE,t,6472,5.78,NYSE,0,6472,-6472,37408.16,284488,49345,450516,342467,2530254.54,1915978.87
1900-01-01 09:59:47,LMA,TRADE,t,640,5.78,NYSE,0,7112,-7112,3699.2000000000003,284488,49985,450516,343107,2530254.54,1919678.07
1900-01-01 10:00:44,LMA,TRADE,b,7112,5.77,NASDAQ,7112,7112,0,41036.24,173140,293122,457628,343107,2571290.7800000003,1919678.07
1900-01-01 10:01:11,LMA,TRADE,b,7112,7.61,NASDAQ,14224,7112,7112,54122.32,180252,293122,464740,343107,2625413.1,1919678.07
1900-01-01 10:01:42,LMA,TRADE,t,7112,7.61,NASDAQ,14224,14224,0,54122.32,180252,300234,464740,350219,2625413.1,1973800.3900000001
1900-01-01 10:02:13,ZEU,TRADE,b,7112,14.87,NASDAQ,7112,0,7112,105755.43999999999,187364,300234,471852,350219,2731168.54,1973800.3900000001
1900-01-01 10:02:19,ZEU,TRADE,t,7112,14.87,NASDAQ,7112,7112,0,105755.43999999999,187364,307346,471852,357331,2731168.54,2079555.83
1900-01-01 10:02:39,RPY,TRADE,t,7112,5.82,NASDAQ,400132,292523,107609,41391.840000000004,187364,314458,471852,364443,2731168.54,2120947.67
1900-01-01 10:03:20,RPY,TRADE,b,7112,5.82,NASDAQ,407244,292523,114721,41391.840000000004,194476,314458,478964,364443,2772560.38,2120947.67
1900-01-01 10:03:34,LMA,TRADE,t,7112,20.95,NYSE,14224,21336,-7112,148996.4,284488,57097,478964,371555,2772560.38,2269944.07
1900-01-01 10:04:32,LMA,TRADE,t,7112,20.95,NYSE,14224,28448,-14224,148996.4,284488,64209,478964,378667,2772560.38,2418940.4699999997
1900-01-01 10:04:45,LMA,TRADE,t,21336,20.95,NASDAQ,14224,49784,-35560,446989.2,194476,335794,478964,400003,2772560.38,2865929.67
1900-01-01 10:04:57,LMA,TRADE,b,21336,7.03,NYSE,35560,49784,-14224,149992.08000000002,305824,64209,500300,400003,2922552.46,2865929.67
1900-01-01 10:05:23,LMA,TRADE,t,7112,7.03,NASDAQ,35560,56896,-21336,49997.36,194476,342906,500300,407115,2922552.46,2915927.03
1900-01-01 10:06:17,LMA,TRADE,t,14224,7.03,NASDAQ,35560,71120,-35560,99994.72,194476,357130,500300,421339,2922552.46,3015921.75
1900-01-01 10:06:41,LMA,TRADE,b,14224,7.03,NYSE,49784,71120,-21336,99994.72,320048,64209,514524,421339,3022547.18,3015921.75
1900-01-01 10:07:22,LMA,TRADE,t,14224,7.04,NASDAQ,49784,85344,-35560,100136.96,194476,371354,514524,435563,3022547.18,3116058.71
1900-01-01 10:07:27,LMA,TRADE,b,7112,7.03,NASDAQ,56896,85344,-28448,49997.36,201588,371354,521636,435563,3072544.54,3116058.71
1900-01-01 10:08:05,LMA,TRADE,b,7112,7.03,NASDAQ,64008,85344,-21336,49997.36,208700,371354,528748,435563,3122541.9,3116058.71
1900-01-01 10:08:37,LMA,TRADE,t,7112,7.04,NASDAQ,64008,92456,-28448,50068.48,208700,378466,528748,442675,3122541.9,3166127.19
1900-01-01 10:09:04,LMA,TRADE,t,7112,7.04,NASDAQ,64008,99568,-35560,50068.48,208700,385578,528748,449787,3122541.9,3216195.67
1900-01-01 10:09:09,LMA,TRADE,b,3556,7.04,NYSE,67564,99568,-32004,25034.24,323604,64209,532304,449787,3147576.14,3216195.67
1900-01-01 10:09:34,LMA,TRADE,t,3556,7.04,NYSE,67564,103124,-35560,25034.24,323604,67765,532304,453343,3147576.14,3241229.91
1900-01-01 10:10:03,LMA,TRADE,b,7112,7.04,NYSE,74676,103124,-28448,50068.48,330716,67765,539416,453343,3197644.62,3241229.91
1900-01-01 10:10:31,LMA,TRADE,b,7112,7.04,NASDAQ,81788,103124,-21336,50068.48,215812,385578,546528,453343,3247713.1,3241229.91
1900-01-01 10:10:43,LMA,TRADE,b,7112,7.04,NASDAQ,88900,103124,-14224,50068.48,222924,385578,553640,453343,3297781.58,3241229.91
1900-01-01 10:11:32,LMA,TRADE,t,7112,7.04,NASDAQ,88900,110236,-21336,50068.48,222924,392690,553640,460455,3297781.58,3291298.39
1900-01-01 10:11:38,LMA,TRADE,t,7112,7.04,NASDAQ,88900,117348,-28448,50068.48,222924,399802,553640,467567,3297781.58,3341366.87
1900-01-01 10:12:27,LMA,TRADE,t,7112,7.04,NASDAQ,88900,124460,-35560,50068.48,222924,406914,553640,474679,3297781.58,3391435.35
1900-01-01 10:12:28,LMA,TRADE,b,21336,7.04,NYSE,110236,124460,-14224,150205.44,352052,67765,574976,474679,3447987.02,3391435.35
1900-01-01 10:12:59,LMA,TRADE,t,21336,7.04,NASDAQ,110236,145796,-35560,150205.44,222924,428250,574976,496015,3447987.02,3541640.79
1900-01-01 10:13:09,LMA,TRADE,b,7112,7.05,NYSE,117348,145796,-28448,50139.6,359164,67765,582088,496015,3498126.62,3541640.79
1900-01-01 10:13:15,LMA,TRADE,t,7112,7.05,NASDAQ,117348,152908,-35560,50139.6,222924,435362,582088,503127,3498126.62,3591780.39
